# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Apr  4 02:11:39 2026
#
# User preference: *
#
# CONSTRAINT:  where (pl_orbsmaxstr < 0.1
# CONSTRAINT:  and pl_radjstr > 1
# CONSTRAINT:  and pl_bmassjstr > 0.36)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_denserr1:    Stellar Density Upper Unc. [g/cm**3]
# COLUMN st_denserr2:    Stellar Density Lower Unc. [g/cm**3]
# COLUMN st_denslim:     Stellar Density Limit Flag
# COLUMN st_vsin:        Stellar Rotational Velocity [km/s]
# COLUMN st_vsinerr1:    Stellar Rotational Velocity [km/s] Upper Unc.
# COLUMN st_vsinerr2:    Stellar Rotational Velocity [km/s] Lower Unc.
# COLUMN st_vsinlim:     Stellar Rotational Velocity Limit Flag
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_rotperr1:    Stellar Rotational Period [days] Upper Unc.
# COLUMN st_rotperr2:    Stellar Rotational Period [days] Lower Unc.
# COLUMN st_rotplim:     Stellar Rotational Period Limit Flag
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
#
pl_name,hostname,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,rastr,ra,decstr,dec
51 Peg b,51 Peg,1995,4.23078500000,0.00003600000,-0.00003600000,0,0.0527000000,0.0030000000,-0.0030000000,0,1.27000000,,,0,0.46000000,0.06000000,-0.01000000,0,Mass,0.275000,,,0,0.013000,0.012000,-0.012000,0,,,,,,,,,80.00000,10.00000,-19.00000,0,G5V,5758.00,101.62,-119.62,0,1.175610,0.067361,-0.035328,0,1.030000,0.166699,-0.085418,0,0.1800,0.1000,-0.1000,0,[M/H],0.13631,0.00742,-0.01525,0,4.310380,0.081246,-0.062595,0,10.0000,,,0,0.893738,0.196186,-0.150141,0,2.2000,1.0000,-1.0000,0,30.00000,,,0,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958
BD-10 3166 b,BD-10 3166,2000,3.48777000000,0.00011000000,-0.00011000000,0,0.0400000000,0.0000000000,0.0000000000,0,1.26000000,,,0,0.59000000,0.07000000,-0.07000000,0,Msini,0.368000,,,0,0.020000,0.020000,-0.020000,0,,,,,,,,,,,,,K0 V,5393.00,44.00,-44.00,0,0.910000,0.040000,-0.040000,0,1.470000,0.240000,-0.240000,0,0.3800,,,0,[Fe/H],-0.19120,0.00249,-0.00251,0,4.690000,0.060000,-0.060000,0,0.2500,,,0,1.532763,0.290318,-0.333186,0,0.9200,,,0,,,,,10h58m28.59s,164.6191243,-10d46m13.52s,-10.7704227
BD-14 3065 b,BD-14 3065 A,2024,4.28897310000,0.00000520000,-0.00000520000,0,0.0656000000,0.0026000000,-0.0026000000,0,1.92600000,0.09400000,-0.09400000,0,12.37000000,0.92000000,-0.87000000,0,Mass,2.150000,0.530000,-0.480000,0,0.066000,0.009800,-0.011000,0,646.7610,,,0,2001.00,31.00,-31.00,0,80.78000,0.24000,-0.30000,0,,6935.00,90.00,-90.00,0,2.350000,0.080000,-0.080000,0,1.410000,0.050000,-0.050000,0,-0.3400,0.0500,-0.0500,0,[Fe/H],1.06000,0.03000,-0.03000,0,3.850000,0.030000,-0.030000,0,2.2400,0.2600,-0.2600,0,0.223000,0.013000,-0.014000,0,22.0000,3.0000,-3.0000,0,4.30000,0.20000,-0.20000,0,10h14m40.72s,153.6696689,-15d38m34.21s,-15.6428372
CoRoT-1 b,CoRoT-1,2008,1.50895570000,0.00000640000,-0.00000640000,0,0.0275200000,0.0002200000,-0.0002300000,0,1.49000000,0.08000000,-0.08000000,0,1.03000000,0.12000000,-0.12000000,0,Mass,0.380000,0.050000,-0.050000,0,0.000000,,,0,2852.6300,,,0,1898.00,50.00,-50.00,0,85.10000,0.50000,-0.50000,0,G0 V,5950.00,150.00,-150.00,0,1.110000,0.050000,-0.050000,0,0.950000,0.150000,-0.150000,0,-0.3000,0.2500,-0.2500,0,[M/H],0.29793,0.02929,-0.03141,0,4.250000,0.300000,-0.300000,0,1.6000,0.5000,-0.5000,0,0.930000,0.027000,-0.027000,0,5.2000,1.0000,-1.0000,0,,,,,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394
CoRoT-11 b,CoRoT-11,2010,2.99433000000,0.00001100000,-0.00001100000,0,0.0436000000,0.0050000000,-0.0050000000,0,1.43000000,0.03000000,-0.03000000,0,2.33000000,0.34000000,-0.34000000,0,Mass,0.990000,0.150000,-0.150000,0,0.000000,,,0,1890.6490,,,0,1657.00,55.00,-55.00,0,83.17000,0.15000,-0.15000,0,F6 V,6440.00,120.00,-120.00,0,1.370000,0.030000,-0.030000,0,1.270000,0.050000,-0.050000,0,-0.0300,0.0800,-0.0800,0,[Fe/H],0.37753,0.02269,-0.02395,0,4.220000,0.230000,-0.230000,0,2.0000,1.0000,-1.0000,0,0.690000,0.020000,-0.020000,0,40.0000,5.0000,-5.0000,0,,,,,18h42m44.95s,280.6872998,+05d56m15.57s,5.9376586
CoRoT-12 b,CoRoT-12,2010,2.82804200000,0.00001300000,-0.00001300000,0,0.0401600000,0.0009300000,-0.0009200000,0,1.44000000,0.13000000,-0.13000000,0,0.91700000,0.07000000,-0.06500000,0,Mass,0.411000,0.129000,-0.094000,0,0.070000,0.063000,-0.042000,0,661.1334,,,0,1442.00,58.00,-58.00,0,85.48000,0.72000,-0.77000,0,,5675.00,80.00,-80.00,0,1.116000,0.096000,-0.092000,0,1.078000,0.077000,-0.072000,0,0.1600,0.1000,-0.1000,0,[Fe/H],0.07000,0.01000,-0.01000,0,4.375000,0.065000,-0.062000,0,6.3000,3.1000,-3.1000,0,1.080000,0.280000,-0.210000,0,1.0000,1.0000,-1.0000,0,,,,,06h43m03.76s,100.7656871,-01d17m47.20s,-1.2964437
CoRoT-14 b,CoRoT-14,2010,1.51214000000,0.00013000000,-0.00013000000,0,0.0270000000,0.0020000000,-0.0020000000,0,1.09000000,0.07000000,-0.07000000,0,7.60000000,0.60000000,-0.60000000,0,Mass,7.300000,1.500000,-1.500000,0,0.000000,,,0,,,,,1952.00,66.00,-66.00,0,79.60000,0.80000,-0.80000,0,F9 V,6035.00,100.00,-100.00,0,1.210000,0.080000,-0.080000,0,1.130000,0.090000,-0.090000,0,0.0500,0.1500,-0.1500,0,[Fe/H],0.11884,0.07934,-0.09715,0,4.350000,0.150000,-0.150000,0,4.2000,3.8000,-3.8000,0,0.910000,0.170000,-0.170000,0,9.0000,0.5000,-0.5000,0,,,,,06h53m41.81s,103.4242023,-05d32m09.74s,-5.5360385
CoRoT-16 b,CoRoT-16,2011,5.35227000000,0.00020000000,-0.00020000000,0,0.0618000000,0.0015000000,-0.0015000000,0,1.17000000,0.16000000,-0.14000000,0,0.53500000,0.08500000,-0.08300000,0,Mass,0.440000,0.210000,-0.140000,0,0.330000,0.090000,-0.100000,0,,,,,,,,,85.01000,0.94000,-1.20000,0,G5 V,5650.00,100.00,-100.00,0,1.190000,0.140000,-0.130000,0,1.098000,0.082000,-0.078000,0,0.1900,0.0600,-0.0600,0,[M/H],-0.43496,0.04116,-0.04547,0,4.360000,0.100000,-0.100000,0,6.7300,2.8000,-2.8000,0,0.930000,0.330000,-0.240000,0,1.0000,,,1,,,,,18h34m05.92s,278.5246658,-06d00m09.37s,-6.0026026
CoRoT-17 b,CoRoT-17,2011,3.76810000000,0.00030000000,-0.00030000000,0,0.0461000000,0.0008000000,-0.0008000000,0,1.02000000,0.07000000,-0.07000000,0,2.43000000,0.30000000,-0.30000000,0,Mass,2.820000,0.380000,-0.380000,0,0.000000,,,0,,,,,1626.00,31.00,-31.00,0,88.34000,1.54000,-1.54000,0,G2 V,5740.00,80.00,-80.00,0,1.590000,0.070000,-0.070000,0,1.040000,0.100000,-0.100000,0,0.0000,0.1000,-0.1000,0,[Fe/H],0.13421,0.04488,-0.05006,0,4.400000,0.100000,-0.100000,0,10.7000,1.0000,-1.0000,0,0.320000,0.030000,-0.030000,0,4.5000,0.5000,-0.5000,0,,,,,18h34m47.82s,278.6992360,-06d36m44.24s,-6.6122880
CoRoT-18 b,CoRoT-18,2011,1.90006930000,0.00000280000,-0.00000280000,0,0.0295000000,0.0016000000,-0.0016000000,0,1.31000000,0.18000000,-0.18000000,0,3.47000000,0.38000000,-0.38000000,0,Mass,2.200000,0.800000,-0.800000,0,0.080000,,,1,823.7009,,,0,1550.00,90.00,-90.00,0,86.50000,1.40000,-0.90000,0,G9 V,5440.00,100.00,-100.00,0,1.000000,0.130000,-0.130000,0,0.950000,0.150000,-0.150000,0,-0.1000,0.1000,-0.1000,0,[Fe/H],-0.17000,0.06000,-0.06000,0,4.400000,0.100000,-0.100000,0,0.6000,0.0000,-0.6000,0,1.350000,0.250000,-0.250000,0,8.0000,1.0000,-1.0000,0,5.40000,0.40000,-0.40000,0,06h32m41.38s,98.1724172,-00d01m53.78s,-0.0316045
