# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Apr  4 02:38:59 2026
#
# User preference: *
#
# CONSTRAINT:  where (pl_orbsmax < 5
# CONSTRAINT:  and pl_bmassj > 0.36)
# CONSTRAINT:  order by pl_radj asc, pl_orbsmax desc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_denserr1:    Stellar Density Upper Unc. [g/cm**3]
# COLUMN st_denserr2:    Stellar Density Lower Unc. [g/cm**3]
# COLUMN st_denslim:     Stellar Density Limit Flag
# COLUMN st_vsin:        Stellar Rotational Velocity [km/s]
# COLUMN st_vsinerr1:    Stellar Rotational Velocity [km/s] Upper Unc.
# COLUMN st_vsinerr2:    Stellar Rotational Velocity [km/s] Lower Unc.
# COLUMN st_vsinlim:     Stellar Rotational Velocity Limit Flag
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_rotperr1:    Stellar Rotational Period [days] Upper Unc.
# COLUMN st_rotperr2:    Stellar Rotational Period [days] Lower Unc.
# COLUMN st_rotplim:     Stellar Rotational Period Limit Flag
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
#
pl_name,hostname,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,rastr,ra,decstr,dec
GJ 508.2 b,GJ 508.2,2025,5300.00000000000,,,-1,4.8500000000,,,-1,,,,,,,,,1.85000000,,,-1,Msini,,,,,0.270000,,,-1,,,,,,,,,,,,,M1.0 V,3720.00,12.00,-12.00,0,0.530000,0.120000,-0.120000,0,0.540000,0.120000,-0.120000,0,-0.1500,0.0400,-0.0400,0,[Fe/H],-1.22200,0.47700,0.00000,0,4.712180,,,0,,,,,5.010424,4.390185,-4.390185,0,2.0000,,,1,36.00000,6.00000,-6.00000,0,13h20m58.65s,200.2443854,+34d16m39.59s,34.2776644
HD 160691 c,HD 160691,2004,3947.00000000000,23.00000000000,-23.00000000000,0,4.1700000000,0.0700000000,-0.0700000000,0,,,,,,,,,4.40000000,,,1,Mass,,,,,0.039000,0.011000,-0.011000,0,,,,,,,,,60.00000,,,0,G3 IV-V,5773.00,,,0,1.330000,0.020000,-0.020000,0,1.130000,0.020000,-0.020000,0,0.2800,0.0300,-0.0300,0,[Fe/H],0.27848,0.00965,-0.01281,0,4.200000,0.100000,-0.100000,0,5.7000,0.6000,-0.6000,0,0.554734,0.126807,-0.088436,0,3.1000,0.5000,-0.5000,0,,,,,17h44m08.68s,266.0361585,-51d50m05.55s,-51.8348751
WASP-53 c,WASP-53,2017,2840.00000000000,170.00000000000,-130.00000000000,-1,3.7300000000,0.1600000000,-0.1400000000,-1,,,,,,,,,16.35000000,0.85000000,-0.82000000,-1,Msini,,,,,0.836900,0.006900,-0.007000,0,,,,,,,,,,,,,,4953.00,60.00,-60.00,0,0.798000,0.023000,-0.023000,0,0.839000,0.054000,-0.054000,0,0.2200,0.1100,-0.1100,0,[Fe/H],-0.46344,0.02811,-0.03005,0,4.553000,0.019000,-0.020000,0,,,,,2.323000,0.128000,-0.120000,0,0.8600,0.2100,-0.2100,0,,,,,02h07m38.20s,31.9091639,-20d39m42.63s,-20.6618430
BEBOP-4 AB b,BEBOP-4 A,2025,1823.50000000000,5.10000000000,-4.90000000000,0,3.6340000000,0.0110000000,-0.0110000000,0,,,,,,,,,26.30000000,,,1,Mass,,,,,0.428000,0.016000,-0.016000,0,,,,,,,,,,,,,G3 V,5701.43,118.15,-118.15,0,2.756450,0.146157,-0.117763,0,1.507000,0.152000,-0.152000,0,0.2615,0.0123,-0.0123,0,[M/H],0.85933,0.01346,-0.01743,0,3.565970,0.077146,-0.071575,0,,,,,0.068662,0.014949,-0.013338,0,,,,,,,,,12h50m18.54s,192.5772651,+26d09m34.33s,26.1595358
UZ For c,UZ For,2011,1916.25000000000,91.25000000000,-91.25000000000,0,2.8000000000,0.5000000000,-0.5000000000,0,,,,,,,,,7.70000000,1.20000000,-1.20000000,-1,Mass,,,,,0.050000,0.050000,-0.050000,0,,,,,,,,,,,,,,5286.90,1763.10,-307.06,0,,,,,0.700000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03h35m28.67s,53.8694682,-25d44m21.79s,-25.7393857
HD 202696 c,HD 202696,2019,946.60000000000,20.70000000000,-20.90000000000,0,2.3420000000,0.0340000000,-0.0350000000,0,,,,,,,,,1.86400000,0.17700000,-0.22700000,-1,Mass,,,,,0.028000,0.065000,-0.012000,0,,,,,,,,,90.00000,,,0,K0 III-IV,5040.00,71.00,-85.00,0,6.430000,0.410000,-0.390000,0,1.910000,0.090000,-0.140000,0,0.0200,0.0400,-0.0400,0,[Fe/H],1.36922,0.04240,-0.03880,0,3.110000,0.070000,-0.070000,0,1.3200,0.3500,-0.2500,0,,,,,2.0000,0.8000,-0.8000,0,,,,,21h16m54.01s,319.2250346,+27d15m29.81s,27.2582799
HD 181433 c,HD 181433,2008,1018.50000000000,1.47000000000,-0.78000000000,0,1.8850000000,0.0420000000,-0.0440000000,0,,,,,,,,,6.94400000,,,1,Mass,,,,,0.240200,0.009300,-0.008000,0,,,,,,,,,111.00000,59.00000,-62.00000,0,K3 IV,4918.00,15.00,-15.00,0,0.790000,0.010000,-0.010000,0,0.860000,0.060000,-0.060000,0,0.4012,0.0374,-0.0374,0,[M/H],-0.45618,0.01628,-0.01253,0,4.450000,0.040000,-0.040000,0,6.7000,1.8000,-1.8000,0,2.142118,0.830307,-0.395435,0,1.5000,,,0,54.00000,,,0,19h25m08.97s,291.2873731,-66d28m04.02s,-66.4677838
HD 202696 b,HD 202696,2019,517.80000000000,8.90000000000,-3.90000000000,0,1.5660000000,0.0160000000,-0.0070000000,0,,,,,,,,,1.99600000,0.22000000,-0.10000000,-1,Mass,,,,,0.011000,0.078000,-0.011000,0,,,,,,,,,90.00000,,,0,K0 III-IV,5040.00,71.00,-85.00,0,6.430000,0.410000,-0.390000,0,1.910000,0.090000,-0.140000,0,0.0200,0.0400,-0.0400,0,[Fe/H],1.36922,0.04240,-0.03880,0,3.110000,0.070000,-0.070000,0,1.3200,0.3500,-0.2500,0,,,,,2.0000,0.8000,-0.8000,0,,,,,21h16m54.01s,319.2250346,+27d15m29.81s,27.2582799
HD 160691 b,HD 160691,2000,645.00000000000,0.30000000000,-0.30000000000,0,1.5000000000,0.0200000000,-0.0200000000,0,,,,,,,,,4.30000000,,,1,Mass,,,,,0.050500,0.009400,-0.009300,0,,,,,,,,,60.00000,,,0,G3 IV-V,5773.00,,,0,1.330000,0.020000,-0.020000,0,1.130000,0.020000,-0.020000,0,0.2800,0.0300,-0.0300,0,[Fe/H],0.27848,0.00965,-0.01281,0,4.200000,0.100000,-0.100000,0,5.7000,0.6000,-0.6000,0,0.554734,0.126807,-0.088436,0,3.1000,0.5000,-0.5000,0,,,,,17h44m08.68s,266.0361585,-51d50m05.55s,-51.8348751
HD 10180 g,HD 10180,2010,604.67000000000,10.42000000000,-10.42000000000,0,1.4270000000,0.0280000000,-0.0280000000,0,,,,,,,,,10.62000000,,,1,Mass,,,,,0.263000,0.152000,-0.152000,0,,,,,,,,,90.00000,,,0,G1 V,5911.00,19.00,-19.00,0,1.109000,0.036000,-0.036000,0,1.060000,0.050000,-0.050000,0,0.0800,0.0100,-0.0100,0,[Fe/H],0.17319,0.00579,-0.00587,0,4.390000,0.030000,-0.030000,0,4.3000,0.5000,-0.5000,0,0.922125,0.230433,-0.220292,0,3.0000,,,1,,,,,01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881
WASP-47 c,WASP-47,2015,589.57000000000,0.02000000000,-0.02000000000,0,1.3930000000,0.0140000000,-0.0140000000,0,,,,,,,,,1.40641928,0.05663433,-0.06921974,-1,Mass,,,,,0.264000,0.007000,-0.012000,0,0.5490,0.0670,-0.0610,0,247.00,5.00,-5.00,0,90.00000,,,0,G9,5565.00,60.00,-60.00,0,1.156000,0.009000,-0.009000,0,1.058000,0.047000,-0.047000,0,0.4300,0.0400,-0.0400,0,[Fe/H],0.03167,0.01749,-0.02220,0,4.343700,0.006300,-0.006300,0,6.5000,2.6000,-1.2000,0,0.998000,0.014000,-0.014000,0,1.8000,0.2400,-0.1600,0,39.40000,2.20000,-4.50000,0,22h04m48.74s,331.2030920,-12d01m08.64s,-12.0190670
HD 7199 b,HD 7199,2011,615.00000000000,7.00000000000,-7.00000000000,0,1.3600000000,0.0200000000,-0.0200000000,0,,,,,,,,,11.45000000,,,1,Mass,,,,,0.190000,0.160000,-0.160000,0,,,,,,,,,1.49600,,,-1,K1 IV,5371.00,28.00,-28.00,0,0.970000,0.020000,-0.020000,0,0.770000,0.090000,-0.090000,0,0.3200,,,0,[Fe/H],-0.15490,,,0,4.350000,0.050000,-0.050000,0,6.7900,0.7800,-0.7800,0,1.337161,0.353315,-0.304669,0,2.5000,0.5000,-0.5000,0,,,,,01h10m47.50s,17.6979344,-66d11m19.30s,-66.1886947
HD 160691 e,HD 160691,2006,307.90000000000,0.30000000000,-0.30000000000,0,0.9600000000,0.0180000000,-0.0180000000,0,,,,,,,,,7.00000000,,,1,Mass,,,,,0.066600,0.012200,-0.012200,0,,,,,,,,,60.00000,,,0,G3 IV-V,5773.00,,,0,1.330000,0.020000,-0.020000,0,1.130000,0.020000,-0.020000,0,0.2800,0.0300,-0.0300,0,[Fe/H],0.27848,0.00965,-0.01281,0,4.200000,0.100000,-0.100000,0,5.7000,0.6000,-0.6000,0,0.554734,0.126807,-0.088436,0,3.1000,0.5000,-0.5000,0,,,,,17h44m08.68s,266.0361585,-51d50m05.55s,-51.8348751
HD 7924 d,HD 7924,2015,24.45100000000,0.01500000000,-0.01700000000,0,0.1551000000,0.0018000000,-0.0019000000,0,,,,,,,,,4.93400000,,,1,Mass,,,,,0.210000,0.130000,-0.120000,0,15.1700,0.4900,-0.4800,0,499.00,4.00,-4.00,0,0.21880,,,-1,K0.5 V,5075.00,83.00,-83.00,0,0.782100,0.025800,-0.025800,0,0.832000,0.022000,-0.036000,0,-0.1500,0.0300,-0.0300,0,[Fe/H],-0.40636,0.01300,-0.01194,0,4.590000,0.020000,-0.030000,0,0.8800,,,0,2.477558,0.791438,-0.556061,0,1.3500,0.5000,-0.5000,0,,,,,01h21m58.96s,20.4956562,+76d42m36.53s,76.7101475
HD 215152 e,HD 215152,2018,25.19670000000,0.04760000000,-0.05050000000,0,0.1541700000,0.0019900000,-0.0020400000,0,,,,,,,,,3.06900000,,,1,Mass,,,,,0.000000,,,0,,,,,,,,,0.18690,,,-1,K3 V,4935.00,76.00,-76.00,0,0.730000,0.018000,-0.018000,0,0.770000,0.015000,-0.015000,0,-0.1000,0.0400,-0.0400,0,[Fe/H],-0.52254,0.00117,-0.00118,0,4.400000,,,0,,,,,2.398890,0.650521,-0.524695,0,3.3500,,,0,42.00000,,,0,22h43m21.14s,340.8380941,-06d24m07.45s,-6.4020685
HD 40307 d,HD 40307,2009,20.43200000000,0.02200000000,-0.02400000000,0,0.1321000000,0.0066000000,-0.0066000000,0,,,,,,,,,5.58600000,,,1,Mass,,,,,0.070000,0.110000,-0.070000,0,,,,,541.00,625.00,-625.00,0,0.28550,,,-1,K2.5 V,4956.00,50.00,-50.00,0,0.716684,0.059818,-0.047911,0,0.770000,0.050000,-0.050000,0,-0.3100,0.0300,-0.0300,0,[Fe/H],-0.63900,0.06000,-0.06000,0,4.470000,0.160000,-0.160000,0,4.5000,,,0,3.025586,0.843813,-0.873858,0,1.0000,,,1,,,,,05h54m04.13s,88.5172191,-60d01m25.42s,-60.0237289
HD 10180 d,HD 10180,2010,16.35700000000,0.00380000000,-0.00380000000,0,0.1285900000,0.0020200000,-0.0020200000,0,,,,,,,,,10.37000000,,,1,Mass,,,,,0.131000,0.052000,-0.052000,0,,,,,,,,,90.00000,,,0,G1 V,5911.00,19.00,-19.00,0,1.109000,0.036000,-0.036000,0,1.060000,0.050000,-0.050000,0,0.0800,0.0100,-0.0100,0,[Fe/H],0.17319,0.00579,-0.00587,0,4.390000,0.030000,-0.030000,0,4.3000,0.5000,-0.5000,0,0.922125,0.230433,-0.220292,0,3.0000,,,1,,,,,01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881
HD 179079 b,HD 179079,2008,14.47900000000,0.01000000000,-0.01000000000,0,0.1214000000,0.0068000000,-0.0068000000,0,,,,,,,,,13.20000000,,,1,Mass,,,,,0.049000,0.087000,-0.087000,0,,,,,,,,,0.37660,,,-1,G5 IV,5646.00,,,0,1.630000,0.090000,-0.090000,0,1.140000,0.190000,-0.190000,0,0.2400,,,0,[Fe/H],0.38000,0.05000,-0.05000,0,4.160000,0.030000,-0.030000,0,6.9900,0.7100,-0.7100,0,0.258500,0.040800,-0.060292,0,1.0000,,,1,,,,,19h11m09.69s,287.7903733,-02d38m19.57s,-2.6387703
HD 176986 c,HD 176986,2017,16.81240000000,0.00150000000,-0.00150000000,0,0.1187300000,0.0010000000,-0.0010000000,0,,,,,,,,,6.60100000,,,1,Mass,,,,,0.111000,0.080000,-0.080000,0,22.9000,2.6000,-2.4000,0,558.00,15.00,-15.00,0,0.24190,,,-1,K2.5 V,4931.00,77.00,-77.00,0,0.782000,0.035000,-0.035000,0,0.789000,0.019000,-0.019000,0,0.0300,0.0500,-0.0500,0,[Fe/H],-0.48017,0.03406,-0.03695,0,4.440000,0.170000,-0.170000,0,4.3000,4.0000,-4.0000,0,2.295818,0.545938,-0.497777,0,1.1000,0.2000,-0.2000,0,36.05000,0.67000,-0.71000,0,19h03m05.74s,285.7739138,-11d02m41.79s,-11.0449410
HD 7924 c,HD 7924,2015,15.29900000000,0.00320000000,-0.00330000000,0,0.1134000000,0.0013000000,-0.0014000000,0,,,,,,,,,5.54600000,,,1,Mass,,,,,0.098000,0.096000,-0.069000,0,28.3500,0.9200,-0.8900,0,583.60,4.70,-4.60,0,0.25750,,,-1,K0.5 V,5075.00,83.00,-83.00,0,0.782100,0.025800,-0.025800,0,0.832000,0.022000,-0.036000,0,-0.1500,0.0300,-0.0300,0,[Fe/H],-0.40636,0.01300,-0.01194,0,4.590000,0.020000,-0.030000,0,0.8800,,,0,2.477558,0.791438,-0.556061,0,1.3500,0.5000,-0.5000,0,,,,,01h21m58.96s,20.4956562,+76d42m36.53s,76.7101475
HD 215152 d,HD 215152,2018,10.86499000000,0.00564000000,-0.00613000000,0,0.0879900000,0.0011300000,-0.0011600000,0,,,,,,,,,2.42400000,,,1,Mass,,,,,0.000000,,,0,,,,,,,,,0.19980,,,-1,K3 V,4935.00,76.00,-76.00,0,0.730000,0.018000,-0.018000,0,0.770000,0.015000,-0.015000,0,-0.1000,0.0400,-0.0400,0,[Fe/H],-0.52254,0.00117,-0.00118,0,4.400000,,,0,,,,,2.398890,0.650521,-0.524695,0,3.3500,,,0,42.00000,,,0,22h43m21.14s,340.8380941,-06d24m07.45s,-6.4020685
HD 181433 b,HD 181433,2008,9.37450000000,0.00025000000,-0.00038000000,0,0.0828000000,0.0019000000,-0.0020000000,0,,,,,,,,,5.37600000,,,1,Mass,,,,,0.396000,0.015000,-0.024000,0,,,,,,,,,0.25420,,,-1,K3 IV,4918.00,15.00,-15.00,0,0.790000,0.010000,-0.010000,0,0.860000,0.060000,-0.060000,0,0.4012,0.0374,-0.0374,0,[M/H],-0.45618,0.01628,-0.01253,0,4.450000,0.040000,-0.040000,0,6.7000,1.8000,-1.8000,0,2.142118,0.830307,-0.395435,0,1.5000,,,0,54.00000,,,0,19h25m08.97s,291.2873731,-66d28m04.02s,-66.4677838
HD 125595 b,HD 125595,2009,9.67370000000,0.00390000000,-0.00390000000,0,0.0800000000,0.0000000000,0.0000000000,0,,,,,,,,,11.11000000,,,1,Mass,,,,,0.000000,,,0,,,,,,,,,0.22430,,,-1,K4 V,4691.00,166.00,-166.00,0,0.740000,0.050000,-0.050000,0,0.290000,0.250000,-0.250000,0,0.0800,,,0,[Fe/H],-0.61738,0.00118,-0.00119,0,4.170000,0.370000,-0.370000,0,3.5300,3.5900,-3.5900,0,2.516892,1.087117,-0.679526,0,1.5000,,,0,40.10000,,,0,14h21m22.42s,215.3434326,-40d23m39.28s,-40.3942443
HD 40307 c,HD 40307,2009,9.61840000000,0.00500000000,-0.00490000000,0,0.0799000000,0.0040000000,-0.0040000000,0,,,,,,,,,5.87900000,,,1,Mass,,,,,0.060000,0.110000,-0.060000,0,,,,,696.00,792.00,-792.00,0,0.21090,,,-1,K2.5 V,4956.00,50.00,-50.00,0,0.716684,0.059818,-0.047911,0,0.770000,0.050000,-0.050000,0,-0.3100,0.0300,-0.0300,0,[Fe/H],-0.63900,0.06000,-0.06000,0,4.470000,0.160000,-0.160000,0,4.5000,,,0,3.025586,0.843813,-0.873858,0,1.0000,,,1,,,,,05h54m04.13s,88.5172191,-60d01m25.42s,-60.0237289
