# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Mar 31 19:34:59 2026
#
# User preference: *
#
# CONSTRAINT:  where (pl_orbperstr < 10
# CONSTRAINT:  and pl_orbsmaxstr < 3
# CONSTRAINT:  and pl_radjstr > 1
# CONSTRAINT:  and pl_bmassjstr > 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN pl_ratdorerr1:  Ratio of Semi-Major Axis to Stellar Radius Upper Unc.
# COLUMN pl_ratdorerr2:  Ratio of Semi-Major Axis to Stellar Radius Lower Unc.
# COLUMN pl_ratdorlim:   Ratio of Semi-Major Axis to Stellar Radius Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_denserr1:    Stellar Density Upper Unc. [g/cm**3]
# COLUMN st_denserr2:    Stellar Density Lower Unc. [g/cm**3]
# COLUMN st_denslim:     Stellar Density Limit Flag
# COLUMN st_vsin:        Stellar Rotational Velocity [km/s]
# COLUMN st_vsinerr1:    Stellar Rotational Velocity [km/s] Upper Unc.
# COLUMN st_vsinerr2:    Stellar Rotational Velocity [km/s] Lower Unc.
# COLUMN st_vsinlim:     Stellar Rotational Velocity Limit Flag
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_rotperr1:    Stellar Rotational Period [days] Upper Unc.
# COLUMN st_rotperr2:    Stellar Rotational Period [days] Lower Unc.
# COLUMN st_rotplim:     Stellar Rotational Period Limit Flag
# COLUMN st_radv:        Systemic Radial Velocity [km/s]
# COLUMN st_radverr1:    Systemic Radial Velocity Upper Unc. [km/s]
# COLUMN st_radverr2:    Systemic Radial Velocity Lower Unc. [km/s]
# COLUMN st_radvlim:     Systemic Radial Velocity Limit Flag
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,hostname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2
HD 185269 b,HD 185269,6.83776000000,0.00027000000,-0.00027000000,0,0.0770000000,0.0034000000,-0.0034000000,0,1.23000000,,,0,1.01000000,0.01400000,-0.01400000,0,Msini,0.671000,,,0,0.229000,0.014000,-0.014000,0,,,,,,,,,G0 IV,5923.00,,,0,2.000000,,,0,1.300000,,,0,0.1100,0.0500,-0.0500,0,[Fe/H],0.69362,0.00111,-0.00111,0,3.920000,,,0,4.0000,1.0000,-1.0000,0,0.162356,0.026847,-0.031202,0,6.1000,0.5000,-0.5000,0,,,,,0.61700,0.00200,-0.00200,0,19h37m11.70s,294.2987668,+28d29m58.25s,28.4995140,51.99170000,0.08430000,-0.08400000
OGLE-TR-182 b,OGLE-TR-182,3.97910000000,0.00001000000,-0.00001000000,0,0.0510000000,0.0010000000,-0.0010000000,0,1.13000000,0.24000000,-0.08000000,0,1.01000000,0.15000000,-0.15000000,0,Mass,0.410000,0.160000,-0.110000,0,0.000000,,,0,1550.00,81.00,-81.00,0,7.299000,0.831000,-0.677000,0,,5924.00,64.00,-64.00,0,1.140000,0.230000,-0.060000,0,1.140000,0.050000,-0.050000,0,0.3700,0.0800,-0.0800,0,[Fe/H],0.24059,,,0,4.470000,0.180000,-0.180000,0,4.3000,0.5000,-1.9000,0,0.460000,0.140000,-0.140000,0,,,,,,,,,,,,,11h09m18.70s,167.3279228,-61d05m42.94s,-61.0952624,2501.75000000,399.85500000,-399.85500000
HD 202772 A b,HD 202772 A,3.30895800000,0.00008300000,-0.00008300000,0,0.0520800000,0.0006400000,-0.0006800000,0,1.54500000,0.05200000,-0.06000000,0,1.01700000,0.07000000,-0.06800000,0,Mass,0.343000,0.043000,-0.035000,0,0.038000,0.042000,-0.027000,0,2132.00,28.00,-30.00,0,4.330000,0.150000,-0.130000,0,,6272.00,77.00,-71.00,0,2.591000,0.078000,-0.093000,0,1.720000,0.064000,-0.066000,0,0.3000,0.0600,-0.0600,0,[Fe/H],0.97128,0.02436,-0.02778,0,3.848000,0.030000,-0.027000,0,1.7000,0.3200,-0.2600,0,0.140000,0.015000,-0.012000,0,,,,,,,,,-17.71108,0.28111,-0.28111,0,21h18m47.90s,319.6995877,-26d36m58.95s,-26.6163743,161.49800000,2.45900000,-2.38800000
HD 88133 b,HD 88133,3.41488400000,0.00003000000,-0.00003000000,0,0.0479000000,0.0033000000,-0.0033000000,0,1.23000000,,,0,1.02000000,0.61000000,-0.28000000,0,Mass,0.678000,,,0,0.031000,0.021000,-0.021000,0,,,,,,,,,G5,5392.00,,,0,2.200000,,,0,1.260000,,,0,0.3400,0.0400,-0.0400,0,[Fe/H],0.49678,0.01123,-0.01084,0,3.880000,,,0,5.3700,0.9100,-0.9100,0,0.158364,0.052382,-0.025492,0,2.2000,0.3000,-0.3000,0,,,,,-3.45000,0.11900,-0.11900,0,10h10m07.66s,152.5319349,+18d11m08.62s,18.1857284,73.61230000,0.30530000,-0.30290000
TOI-3693 b,TOI-3693,9.08851600000,0.00002600000,-0.00002700000,0,0.0813000000,0.0011000000,-0.0012000000,0,1.12400000,0.02900000,-0.02300000,0,1.02000000,0.24000000,-0.22000000,0,Mass,0.890000,0.220000,-0.200000,0,0.000000,0.048000,-0.052000,0,801.00,13.00,-12.00,0,22.130000,0.300000,-0.470000,0,,5321.00,86.00,-82.00,0,0.791000,0.017000,-0.014000,0,0.867000,0.036000,-0.037000,0,0.0710,0.0790,-0.0760,0,[Fe/H],-0.34390,0.03143,-0.02976,0,4.581000,0.014000,-0.021000,0,3.0000,3.8000,-2.1000,0,2.480000,0.100000,-0.160000,0,,,,,,,,,,,,,01h02m37.05s,15.6543938,+51d18m14.01s,51.3038918,176.43600000,1.22400000,-1.20800000
CoRoT-1 b,CoRoT-1,1.50895570000,0.00000640000,-0.00000640000,0,0.0275200000,0.0002200000,-0.0002300000,0,1.49000000,0.08000000,-0.08000000,0,1.03000000,0.12000000,-0.12000000,0,Mass,0.380000,0.050000,-0.050000,0,0.000000,,,0,1898.00,50.00,-50.00,0,4.920000,0.080000,-0.080000,0,G0 V,5950.00,150.00,-150.00,0,1.110000,0.050000,-0.050000,0,0.950000,0.150000,-0.150000,0,-0.3000,0.2500,-0.2500,0,[M/H],0.29793,0.02929,-0.03141,0,4.250000,0.300000,-0.300000,0,1.6000,0.5000,-0.5000,0,0.930000,0.027000,-0.027000,0,5.2000,1.0000,-1.0000,0,,,,,23.35400,0.00800,-0.00800,0,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,787.90900000,23.49100000,-23.49100000
HATS-58 A b,HATS-58 A,4.21808960000,0.00000890000,-0.00000890000,0,0.0579800000,0.0005700000,-0.0005700000,0,1.09500000,0.06200000,-0.06200000,0,1.03000000,0.23000000,-0.23000000,0,Mass,0.960000,0.270000,-0.270000,0,0.168000,,,1,1721.00,34.00,-34.00,0,8.710000,0.300000,-0.300000,0,,7175.00,54.00,-54.00,0,1.433000,0.059000,-0.059000,0,1.461000,0.043000,-0.043000,0,,,,,,0.68931,0.03904,-0.04291,0,4.292000,0.028000,-0.028000,0,0.3100,0.3300,-0.2000,0,0.702000,0.070000,-0.070000,0,6.2200,0.2900,-0.2900,0,,,,,19.29000,0.00810,-0.00810,0,12h27m08.95s,186.7873036,-48d58m42.28s,-48.9784105,403.59100000,,
OGLE-TR-211 b,OGLE-TR-211,3.67724000000,0.00003000000,-0.00003000000,0,0.0510000000,0.0010000000,-0.0010000000,0,1.36000000,0.18000000,-0.09000000,0,1.03000000,0.20000000,-0.20000000,0,Mass,0.420000,0.058000,-0.120000,0,0.000000,,,0,1686.00,90.00,-55.00,0,7.032300,0.435900,-0.671000,0,,6325.00,91.00,-91.00,0,1.640000,0.210000,-0.070000,0,1.330000,0.050000,-0.050000,0,0.1100,0.1000,-0.1000,0,[Fe/H],0.26657,0.06537,-0.07699,0,4.220000,0.170000,-0.170000,0,2.6000,0.6000,-0.7000,0,0.486000,0.096000,-0.127000,0,,,,,,,,,,,,,10h40m14.36s,160.0598236,-62d27m19.93s,-62.4555353,1515.26000000,109.82500000,-109.82500000
TOI-3135 b,TOI-3135,3.70655850000,0.00000130000,-0.00000130000,0,0.0475600000,0.0006300000,-0.0007300000,0,1.21800000,0.03000000,-0.03000000,0,1.03000000,0.30000000,-0.27000000,0,Mass,0.700000,0.210000,-0.190000,0,0.240000,,,1,1292.00,31.00,-30.00,0,10.380000,0.170000,-0.170000,0,,5890.00,150.00,-140.00,0,0.985000,0.019000,-0.019000,0,1.044000,0.042000,-0.047000,0,0.0710,0.0780,-0.0700,0,[Fe/H],0.02119,0.04700,-0.04347,0,4.469000,0.016000,-0.018000,0,1.8000,2.1000,-1.2000,0,1.537000,0.079000,-0.075000,0,,,,,,,,,,,,,13h51m26.21s,207.8592276,-69d46m21.23s,-69.7725635,221.67300000,1.37900000,-1.36100000
TOI-2169 A b,TOI-2169 A,8.21482820000,0.00000810000,-0.00000800000,0,0.0896000000,0.0014000000,-0.0015000000,0,1.11600000,0.03700000,-0.03600000,0,1.03700000,0.07700000,-0.07600000,0,Mass,0.920000,0.120000,-0.110000,0,0.045000,,,1,1364.00,21.00,-21.00,0,10.570000,0.320000,-0.310000,0,,6270.00,130.00,-130.00,0,1.820000,0.047000,-0.046000,0,1.420000,0.069000,-0.070000,0,0.1230,0.0760,-0.0730,0,[Fe/H],0.66558,0.02902,-0.03010,0,4.069000,0.030000,-0.030000,0,2.5100,0.7800,-0.6500,0,0.331000,0.031000,-0.028000,0,,,,,,,,,,,,,18h36m40.83s,279.1701117,+23d15m31.03s,23.2586193,351.48700000,3.56600000,-3.49700000
